date,country,incidence
2010-01-04,Austria,0.23518695540255596
2010-01-04,Belgium,0.2841467159364443
2010-01-04,Bulgaria,0.0
2010-01-04,Czechia,0.0
2010-01-04,Germany,0.15294941054709016
2010-01-04,Denmark,0.0
2010-01-04,Estonia,1.6801809218816683
2010-01-04,Greece,0.36401305095991604
2010-01-04,Spain,0.27039388744628284
2010-01-04,France,0.9827473247433937
2010-01-04,Hungary,0.30293789167344914
2010-01-04,Ireland,0.9815517351380797
2010-01-04,Lithuania,1.1068258503604655
2010-01-04,Latvia,0.0
2010-01-04,Netherlands,0.17789167061388517
2010-01-04,Norway,0.0
2010-01-04,Poland,0.025517416657565455
2010-01-04,Portugal,0.46518097167931727
2010-01-04,Romania,0.6806457077097693
2010-01-04,Sweden,0.0
2010-01-04,Slovenia,0.9852682688442409
2010-01-04,Slovakia,0.3611396411427614
2010-01-04,Austria,1.058341299311502
2010-01-04,Belgium,0.18943114395762956
2010-01-04,Bulgaria,0.0
2010-01-04,Czechia,0.29323386319389155
2010-01-04,Germany,0.14118407127423707
2010-01-04,Denmark,0.18070510408794702
2010-01-04,Estonia,2.5202713828225023
2010-01-04,Greece,1.4560522038396642
2010-01-04,Spain,0.22123136245604963
2010-01-04,France,1.2947306024397094
2010-01-04,Hungary,0.8078343777958643
2010-01-04,Ireland,0.49077586756903985
2010-01-04,Italy,0.0
2010-01-04,Lithuania,1.1068258503604655
2010-01-04,Latvia,0.0
2010-01-04,Netherlands,0.11859444707592345
2010-01-04,Norway,0.0
2010-01-04,Poland,0.10206966663026182
2010-01-04,Portugal,0.2791085830075904
2010-01-04,Romania,2.2234426451852465
2010-01-04,Sweden,0.0
2010-01-04,Slovenia,1.4779024032663615
2010-01-04,Slovakia,0.0
2010-01-11,Austria,0.352780433103834
2010-01-11,Belgium,0.3788622879152591
2010-01-11,Bulgaria,0.2966055570237531
2010-01-11,Czechia,0.5864677263877831
2010-01-11,Germany,0.15294941054709016
2010-01-11,Denmark,0.0
2010-01-11,Estonia,2.5202713828225023
2010-01-11,Greece,0.27300978821993704
2010-01-11,Spain,0.22123136245604963
2010-01-11,France,1.247933110785262
2010-01-11,Hungary,1.1107722694693134
2010-01-11,Ireland,0.9815517351380797
2010-01-11,Italy,0.03407399522432513
2010-01-11,Lithuania,0.2767064625901164
2010-01-11,Latvia,0.0
2010-01-11,Netherlands,0.11859444707592345
2010-01-11,Norway,0.0
2010-01-11,Poland,0.10206966663026182
2010-01-11,Portugal,0.3721447773434538
2010-01-11,Romania,2.0419371231293075
2010-01-11,Sweden,0.0
2010-01-11,Slovenia,1.9705365376884818
2010-01-11,Slovakia,0.0
2010-01-18,Austria,0.352780433103834
2010-01-18,Belgium,0.5682934318728886
2010-01-18,Bulgaria,2.6694500132137775
2010-01-18,Czechia,0.5864677263877831
2010-01-18,Germany,0.0
2010-01-18,Denmark,1.084230624527682
2010-01-18,Estonia,3.3603618437633367
2010-01-18,Greece,0.7280261019198321
2010-01-18,Spain,0.049162524990233256
2010-01-18,France,0.9827473247433937
2010-01-18,Hungary,0.9088136750203474
2010-01-18,Ireland,0.24538793378451992
2010-01-18,Italy,0.06814799044865026
2010-01-18,Lithuania,0.0
2010-01-18,Latvia,0.0
2010-01-18,Netherlands,0.4150805647657321
2010-01-18,Norway,0.0
2010-01-18,Poland,0.05103483331513091
2010-01-18,Portugal,0.0
2010-01-18,Romania,0.9529039907936769
2010-01-18,Sweden,0.0
2010-01-18,Slovenia,1.4779024032663615
2010-01-18,Slovakia,0.0
2010-01-25,Austria,0.352780433103834
2010-01-25,Belgium,0.2841467159364443
2010-01-25,Bulgaria,1.3347250066068888
2010-01-25,Czechia,0.195489242129261
2010-01-25,Germany,0.16471474981994325
2010-01-25,Denmark,1.987756144967417
2010-01-25,Estonia,2.5202713828225023
2010-01-25,Greece,0.4550163136998951
2010-01-25,Spain,0.14748757497069975
2010-01-25,France,0.8891523414344991
